cites,authors,title,year,source,publisher,abstract,text
13,M Goyal,SLE patients are not immune to covid-19: importance of sending the right message across,2021,Annals of the rheumatic diseases,ard.bmj.com,"In vitro inhibition of the novel coronavirus, SARS-CoV-2, by hydroxychloroquine (HCQ) has triggered further exploration of the clinical efficacy of this drug in covid-19. Rheumatologists all over the world are analysing registries of patients with systemic lupus erythematosus ??","SLE patients are not immune to covid-19: importance of sending the right message across In vitro inhibition of the novel coronavirus, SARS-CoV-2, by hydroxychloroquine (HCQ) has triggered further exploration of the clinical efficacy of this drug in covid-19. Rheumatologists all over the world are analysing registries of patients with systemic lupus erythematosus ??"
33,"J Colmenero, M Rodr??guez-Per??lvarez, M Salcedo??","Epidemiological pattern, incidence, and outcomes of COVID-19 in liver transplant patients",2021,Journal of ??,Elsevier,Background & Aims The incidence and outcomes of coronavirus disease 2019 (COVID-19) in immunocompromised patients are a matter of debate. Methods We performed a prospective nationwide study including a consecutive cohort of liver transplant patients with ??,"Epidemiological pattern, incidence, and outcomes of COVID-19 in liver transplant patients Background & Aims The incidence and outcomes of coronavirus disease 2019 (COVID-19) in immunocompromised patients are a matter of debate. Methods We performed a prospective nationwide study including a consecutive cohort of liver transplant patients with ??"
12,"A Falk, A Benda, P Falk, S Steffen??","COVID-19 cases and transmission in 17 K?C12 schools??Wood County, Wisconsin, August 31?CNovember 29, 2020",2021,?? and Mortality Weekly ??,ncbi.nlm.nih.gov,"Discussion This study, involving students and staff members in 17 K?C12 schools in five rural Wisconsin districts under district and statewide mask mandates, found high teacher-reported student masking compliance. Among 5,530 students and staff members, 191 COVID-19 ??","COVID-19 cases and transmission in 17 K?C12 schools??Wood County, Wisconsin, August 31?CNovember 29, 2020 Discussion This study, involving students and staff members in 17 K?C12 schools in five rural Wisconsin districts under district and statewide mask mandates, found high teacher-reported student masking compliance. Among 5,530 students and staff members, 191 COVID-19 ??"
62,"??, DE Leaf, STOP-COVID Investigators",Association between early treatment with tocilizumab and mortality among critically ill patients with COVID-19,2021,JAMA internal ??,jamanetwork.com,"Importance Therapies that improve survival in critically ill patients with coronavirus disease 2019 (COVID-19) are needed. Tocilizumab, a monoclonal antibody against the interleukin 6 receptor, may counteract the inflammatory cytokine release syndrome in patients with severe ??","Association between early treatment with tocilizumab and mortality among critically ill patients with COVID-19 Importance Therapies that improve survival in critically ill patients with coronavirus disease 2019 (COVID-19) are needed. Tocilizumab, a monoclonal antibody against the interleukin 6 receptor, may counteract the inflammatory cytokine release syndrome in patients with severe ??"
5,"E Leidman, LM Duca, JD Omura, K Proia??","COVID-19 trends among persons aged 0?C24 years??united states, march 1?Cdecember 12, 2020",2021,?? and Mortality Weekly ??,ncbi.nlm.nih.gov,"Coronavirus disease 2019 (COVID-19) case and electronic laboratory data reported to CDC were analyzed to describe demographic characteristics, underlying health conditions, and clinical outcomes, as well as trends in laboratory-confirmed COVID-19 incidence and testing ??","COVID-19 trends among persons aged 0?C24 years??united states, march 1?Cdecember 12, 2020 Coronavirus disease 2019 (COVID-19) case and electronic laboratory data reported to CDC were analyzed to describe demographic characteristics, underlying health conditions, and clinical outcomes, as well as trends in laboratory-confirmed COVID-19 incidence and testing ??"
52,"KMC Malecki, JA Keating??",Crisis communication and public perception of COVID-19 risk in the era of social media,2021,Clinical Infectious Diseases,academic.oup.com,A number of important principles in effective risk communication established in the late 20th century can provide important scientific insight into patient response to the risks posed by coronavirus disease 2019 (COVID-19). Early risk communication scholars found ??,Crisis communication and public perception of COVID-19 risk in the era of social media A number of important principles in effective risk communication established in the late 20th century can provide important scientific insight into patient response to the risks posed by coronavirus disease 2019 (COVID-19). Early risk communication scholars found ??
7,"TM Rawson, RC Wilson, A Holmes",Understanding the role of bacterial and fungal infection in COVID-19,2021,Clinical Microbiology and ??,ncbi.nlm.nih.gov,The novel coronavirus disease (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has placed an unprecedented strain on healthcare systems. An emerging concern is the potential impact of the novel coronavirus ??,Understanding the role of bacterial and fungal infection in COVID-19 The novel coronavirus disease (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has placed an unprecedented strain on healthcare systems. An emerging concern is the potential impact of the novel coronavirus ??
15,"JL Izquierdo, C Almonacid, Y Gonz??lez??",The impact of COVID-19 on patients with asthma,2021,European ??,Eur Respiratory Soc,"Background An association between the severity of coronavirus disease 2019 (COVID-19) and the presence of certain chronic conditions has been suggested. However, unlike influenza and other viruses, the disease burden of COVID-19 in patients with asthma has ??","The impact of COVID-19 on patients with asthma Background An association between the severity of coronavirus disease 2019 (COVID-19) and the presence of certain chronic conditions has been suggested. However, unlike influenza and other viruses, the disease burden of COVID-19 in patients with asthma has ??"
8,"CB Hansen, I Jarlhelt, L P??rez-Al??s??",SARS-CoV-2 antibody responses are correlated to disease severity in COVID-19 convalescent individuals,2021,The Journal of ??,Am Assoc Immnol,"Globally, the COVID-19 pandemic has had extreme consequences for the healthcare system and has led to calls for diagnostic tools to monitor and understand the transmission, pathogenesis, and epidemiology, as well as to evaluate future vaccination strategies. In this ??","SARS-CoV-2 antibody responses are correlated to disease severity in COVID-19 convalescent individuals Globally, the COVID-19 pandemic has had extreme consequences for the healthcare system and has led to calls for diagnostic tools to monitor and understand the transmission, pathogenesis, and epidemiology, as well as to evaluate future vaccination strategies. In this ??"
94,"CA Cadogan, CM Hughes",On the frontline against COVID-19: Community pharmacists' contribution during a public health crisis,2021,Research in Social and Administrative ??,Elsevier,"The global spread of COVID-19 is placing unprecedented demands on healthcare services. In this time of crisis, innovative and adaptive methods of practising will be required across all health professions. In order to maximise the use of current available resources, it is vital that ??","On the frontline against COVID-19: Community pharmacists' contribution during a public health crisis The global spread of COVID-19 is placing unprecedented demands on healthcare services. In this time of crisis, innovative and adaptive methods of practising will be required across all health professions. In order to maximise the use of current available resources, it is vital that ??"
15,"B Wallace, L Washer, W Marder??",Patients with lupus with COVID-19: University of Michigan experience,2021,Annals of the Rheumatic ??,ard.bmj.com,We read with interest the recent report by Mathian et al 1 regarding the clinical course of COVID-19 infection in 17 patients with systemic lupus erythematosus (SLE) under longterm hydroxychloroquine treatment. We report supportive findings in five patients with SLE ??,Patients with lupus with COVID-19: University of Michigan experience We read with interest the recent report by Mathian et al 1 regarding the clinical course of COVID-19 infection in 17 patients with systemic lupus erythematosus (SLE) under longterm hydroxychloroquine treatment. We report supportive findings in five patients with SLE ??
40,"DI Okorie, B Lin",Stock markets and the COVID-19 fractal contagion effects,2021,Finance Research Letters,Elsevier,This article investigates the fractal contagion effect of the COVID-19 pandemic on the stock markets. The stock market information of the top 32 coronavirus affected economies (as of 31st March 2020) was sampled for ex-ante and ex-post COVID-19 outbreak analysis using ??,Stock markets and the COVID-19 fractal contagion effects This article investigates the fractal contagion effect of the COVID-19 pandemic on the stock markets. The stock market information of the top 32 coronavirus affected economies (as of 31st March 2020) was sampled for ex-ante and ex-post COVID-19 outbreak analysis using ??
16,DJM Wright,Prevention of the cytokine storm in COVID-19,2021,The Lancet Infectious Diseases,thelancet.com,"The Comment by Marc Feldman and colleagues, 1 published recently in The Lancet, discussed the potential of anti-tumor necrosis factor (TNF) therapy to inhibit development of a cytokine storm in patients with coronavirus disease 2019 (COVID-19). Following this ??","Prevention of the cytokine storm in COVID-19 The Comment by Marc Feldman and colleagues, 1 published recently in The Lancet, discussed the potential of anti-tumor necrosis factor (TNF) therapy to inhibit development of a cytokine storm in patients with coronavirus disease 2019 (COVID-19). Following this ??"
15,E Bontempi,The Europe second wave of COVID-19 infection and the Italy ??strange?? situation,2021,Environmental Research,Elsevier,"At the end of February 2020 COVID-19 infection appeared in Italy, with consequent diffusion, in few weeks, in almost all the Europe. Despite that human-to-human is the recognized main virus transmission way, several authors supposed pollution-to-human mechanisms to justify ??","The Europe second wave of COVID-19 infection and the Italy ??strange?? situation At the end of February 2020 COVID-19 infection appeared in Italy, with consequent diffusion, in few weeks, in almost all the Europe. Despite that human-to-human is the recognized main virus transmission way, several authors supposed pollution-to-human mechanisms to justify ??"
71,"C Garcia-Vidal, G Sanjuan, E Moreno-Garc??a??",Incidence of co-infections and superinfections in hospitalized patients with COVID-19: a retrospective cohort study,2021,Clinical Microbiology ??,Elsevier,"Objectives To describe the burden, epidemiology and outcomes of co-infections and superinfections occurring in hospitalized patients with coronavirus disease 2019 (COVID-19). Methods We performed an observational cohort study of all consecutive patients ??","Incidence of co-infections and superinfections in hospitalized patients with COVID-19: a retrospective cohort study Objectives To describe the burden, epidemiology and outcomes of co-infections and superinfections occurring in hospitalized patients with coronavirus disease 2019 (COVID-19). Methods We performed an observational cohort study of all consecutive patients ??"
10,"R Patra, N Chandra Das??",Targeting human TLRs to combat COVID?\19: A solution?,2021,Journal of medical ??,Wiley Online Library,"Toll?\like receptors (TLRs) are the pivotal mediators and regulators of host immunity. Influence of different TLRs in the immunity and immunopathology of COVID?\19 infection has been demonstrated recently. Interestingly, a number of TLR agonists and antagonists ??","Targeting human TLRs to combat COVID?\19: A solution? Toll?\like receptors (TLRs) are the pivotal mediators and regulators of host immunity. Influence of different TLRs in the immunity and immunopathology of COVID?\19 infection has been demonstrated recently. Interestingly, a number of TLR agonists and antagonists ??"
4,"AB Gumel, EA Iboi, CN Ngonghala??","A primer on using mathematics to understand COVID-19 dynamics: Modeling, analysis and simulations",2021,Infectious Disease ??,Elsevier,Abstract The novel coronavirus (COVID-19) pandemic that emerged from Wuhan city in December 2019 overwhelmed health systems and paralyzed economies around the world. It became the most important public health challenge facing mankind since the 1918 Spanish ??,"A primer on using mathematics to understand COVID-19 dynamics: Modeling, analysis and simulations Abstract The novel coronavirus (COVID-19) pandemic that emerged from Wuhan city in December 2019 overwhelmed health systems and paralyzed economies around the world. It became the most important public health challenge facing mankind since the 1918 Spanish ??"
6,"C Guo, Y Bo, C Lin, HB Li, Y Zeng, Y Zhang??",Meteorological factors and COVID-19 incidence in 190 countries: an observational study,2021,Science of the Total ??,Elsevier,"Novel corona virus disease 2019 (COVID-19), which first emerged in December 2019, has become a pandemic. This study aimed to investigate the associations between meteorological factors and COVID-19 incidence and mortality worldwide. This study ??","Meteorological factors and COVID-19 incidence in 190 countries: an observational study Novel corona virus disease 2019 (COVID-19), which first emerged in December 2019, has become a pandemic. This study aimed to investigate the associations between meteorological factors and COVID-19 incidence and mortality worldwide. This study ??"
21,"D Giannis, IA Ziogas",Letter in response to article in journal of infection:??Cardiovascular complications in COVID-19: A systematic review and meta-analysis??,2021,Journal of Infection,journalofinfection.com,"We read with interest the outbreak investigation carried out in late March/early April 2020 in four nursing homes affected by COVID-19 outbreaks in central London. 1 During this study, 27 days after the first death and 21 days after the first resident tested positive, 126 (40%) of ??","Letter in response to article in journal of infection:??Cardiovascular complications in COVID-19: A systematic review and meta-analysis?? We read with interest the outbreak investigation carried out in late March/early April 2020 in four nursing homes affected by COVID-19 outbreaks in central London. 1 During this study, 27 days after the first death and 21 days after the first resident tested positive, 126 (40%) of ??"
68,"U Rehman, MG Shahnawaz, NH Khan??","Depression, anxiety and stress among Indians in times of Covid-19 lockdown",2021,?? mental health journal,Springer,"Covid-19 has caused significant distress around the globe. Apart from the evident physical symptoms in infected cases, it has caused serious damage to public mental health. India, like other countries, implemented a nationwide lockdown to contain and curb the ??","Depression, anxiety and stress among Indians in times of Covid-19 lockdown Covid-19 has caused significant distress around the globe. Apart from the evident physical symptoms in infected cases, it has caused serious damage to public mental health. India, like other countries, implemented a nationwide lockdown to contain and curb the ??"
7,"K Skok, K Vander, L Setaffy, HH Kessler??","COVID-19 autopsies: procedure, technical aspects and cause of fatal course. Experiences from a single-center",2021,?? -Research and Practice,Elsevier,Autopsies on COVID-19 have provided deep insights into a novel disease with unpredictable and potentially fatal outcome. A standardized autopsy procedure preferably with an in-situ technique and systematic tissue processing is important. Strict safety ??,"COVID-19 autopsies: procedure, technical aspects and cause of fatal course. Experiences from a single-center Autopsies on COVID-19 have provided deep insights into a novel disease with unpredictable and potentially fatal outcome. A standardized autopsy procedure preferably with an in-situ technique and systematic tissue processing is important. Strict safety ??"
18,"A Fumagalli, C Misuraca, A Bianchi, N Borsa??",Pulmonary function in patients surviving to COVID-19 pneumonia,2021,Infection,Springer,"At the time of clinical recovery, FEV1 (2.07 ?? 0.72 L) and FVC (2.25 ?? 0.86 L) were lower compared to lower limit of normality (LLN) values (2.56 ?? 0.53 L, p = 0.004, and 3.31 ?? 0.65 L, p < 0.001, respectively), while FEV1/FVC (0.94 ?? 0.07) was higher compared to upper limit of normality ??","Pulmonary function in patients surviving to COVID-19 pneumonia At the time of clinical recovery, FEV1 (2.07 ?? 0.72 L) and FVC (2.25 ?? 0.86 L) were lower compared to lower limit of normality (LLN) values (2.56 ?? 0.53 L, p = 0.004, and 3.31 ?? 0.65 L, p < 0.001, respectively), while FEV1/FVC (0.94 ?? 0.07) was higher compared to upper limit of normality ??"
106,"S Rajpal, MS Tong, J Borchers, KM Zareba??",Cardiovascular magnetic resonance findings in competitive athletes recovering from COVID-19 infection,2021,JAMA ??,jamanetwork.com,"A, Cine mid short-axis images showing pericardial effusion indicated by yellow arrowhead. B, T2 map with color overlay mid short-axis showing myocardial edema (elevated T2, 61 milliseconds) indicated by blue arrowhead. C, Short-axis view showing late gadolinium enhancement ??","Cardiovascular magnetic resonance findings in competitive athletes recovering from COVID-19 infection A, Cine mid short-axis images showing pericardial effusion indicated by yellow arrowhead. B, T2 map with color overlay mid short-axis showing myocardial edema (elevated T2, 61 milliseconds) indicated by blue arrowhead. C, Short-axis view showing late gadolinium enhancement ??"
7,J Antonakis,Leadership to defeat COVID-19,2021,Group Processes & Intergroup Relations,journals.sagepub.com,Defeating COVID-19 will not happen only via efforts of scientists working on vaccines or new treatments and interventions. Key to winning this battle is to convince citizens to take the needed precautions and to follow scientific advice to stop the spread of the virus and to ??,Leadership to defeat COVID-19 Defeating COVID-19 will not happen only via efforts of scientists working on vaccines or new treatments and interventions. Key to winning this battle is to convince citizens to take the needed precautions and to follow scientific advice to stop the spread of the virus and to ??
27,"WF Garcia-Beltran, EC Lam, MG Astudillo, D Yang??",COVID-19-neutralizing antibodies predict disease severity and survival,2021,Cell,Elsevier,"Summary Coronavirus disease 2019 (COVID-19) exhibits variable symptom severity ranging from asymptomatic to life-threatening, yet the relationship between severity and the humoral immune response is poorly understood. We examined antibody responses in 113 COVID-19 ??","COVID-19-neutralizing antibodies predict disease severity and survival Summary Coronavirus disease 2019 (COVID-19) exhibits variable symptom severity ranging from asymptomatic to life-threatening, yet the relationship between severity and the humoral immune response is poorly understood. We examined antibody responses in 113 COVID-19 ??"
6,"E Murillo-Zamora, CM Hernandez-Suarez",Survival in adult inpatients with COVID-19,2021,Public health,Elsevier,"Background The mortality of the coronavirus disease 2019 (COVID-19) pandemic is high, and data regarding its prognosis are scarce. We aimed to assess the survival experience and determining factors in adult inpatients with laboratory-confirmed COVID-19. Methods ??","Survival in adult inpatients with COVID-19 Background The mortality of the coronavirus disease 2019 (COVID-19) pandemic is high, and data regarding its prognosis are scarce. We aimed to assess the survival experience and determining factors in adult inpatients with laboratory-confirmed COVID-19. Methods ??"
5,"LO Gostin, DA Salmon, HJ Larson",Mandating COVID-19 vaccines,2021,JAMA,jamanetwork.com,(SARS-CoV-2) vaccines hold promise to control the pandemic and help restore normal social and economic life. The US Food and Drug Administration (FDA) has granted Emergency Use Authorization (EUA) for 2 messenger RNA vaccines and will likely issue full ??,Mandating COVID-19 vaccines (SARS-CoV-2) vaccines hold promise to control the pandemic and help restore normal social and economic life. The US Food and Drug Administration (FDA) has granted Emergency Use Authorization (EUA) for 2 messenger RNA vaccines and will likely issue full ??
32,"M Sagar, K Reifler, M Rossi, NS Miller??",Recent endemic coronavirus infection is associated with less-severe COVID-19,2021,The Journal of ??,Am Soc Clin Investig,"Abstract The coronavirus disease 2019 (COVID-19) pandemic continues to cause morbidity and mortality. Since SARS coronavirus 2 (SARS-CoV-2) was identified as the cause for COVID-19, some have questioned whether exposure to seasonal common cold ??","Recent endemic coronavirus infection is associated with less-severe COVID-19 Abstract The coronavirus disease 2019 (COVID-19) pandemic continues to cause morbidity and mortality. Since SARS coronavirus 2 (SARS-CoV-2) was identified as the cause for COVID-19, some have questioned whether exposure to seasonal common cold ??"
20,"MJ Ju, J Oh, YH Choi",Changes in air pollution levels after COVID-19 outbreak in Korea,2021,Science of the Total Environment,Elsevier,"In order to control the spread of COVID-19, social distancing measures were implemented in many countries. This study investigated changes in air pollution during the social distancing after the COVID-19 outbreak in Korea. Ambient PM 2.5, PM 10, NO 2, and CO that are ??","Changes in air pollution levels after COVID-19 outbreak in Korea In order to control the spread of COVID-19, social distancing measures were implemented in many countries. This study investigated changes in air pollution during the social distancing after the COVID-19 outbreak in Korea. Ambient PM 2.5, PM 10, NO 2, and CO that are ??"
19,"S Blach, LA Kondili, A Aghemo, Z Cai, E Dugan??",Impact of COVID-19 on global HCV elimination efforts,2021,Journal of ??,Elsevier,Background & Aims Coronavirus disease 2019 (COVID-19) has placed a significant strain on national healthcare systems at a critical moment in the context of hepatitis elimination. Mathematical models can be used to evaluate the possible impact of programmatic delays ??,Impact of COVID-19 on global HCV elimination efforts Background & Aims Coronavirus disease 2019 (COVID-19) has placed a significant strain on national healthcare systems at a critical moment in the context of hepatitis elimination. Mathematical models can be used to evaluate the possible impact of programmatic delays ??
8,"MS Razai, HKN Kankam, A Majeed, A Esmail??",Mitigating ethnic disparities in covid-19 and beyond,2021,bmj,bmj.com,"The disproportionate effect of covid-19 on ethnic minorities in some high income countries throws into sharp relief the effects of racism on health. On almost all health measures, ethnic minority groups, especially black and South Asian people, have the worst outcomes.123456 The ??","Mitigating ethnic disparities in covid-19 and beyond The disproportionate effect of covid-19 on ethnic minorities in some high income countries throws into sharp relief the effects of racism on health. On almost all health measures, ethnic minority groups, especially black and South Asian people, have the worst outcomes.123456 The ??"
5,"J Prigoff, M Hunter, R Nowygrod",Medical student assessment in the time of COVID-19,2021,Journal of surgical education,Elsevier,Background Medical student education in the era of the COVID-19 outbreak is vastly different than the standard education we have become accustomed to. Medical student assessment is an important aspect of adjusting curriculums in the era of increased virtual ??,Medical student assessment in the time of COVID-19 Background Medical student education in the era of the COVID-19 outbreak is vastly different than the standard education we have become accustomed to. Medical student assessment is an important aspect of adjusting curriculums in the era of increased virtual ??
9,"M Shahzad, AH Abdel-Aty, RAM Attia??",Dynamics models for identifying the key transmission parameters of the COVID-19 disease,2021,Alexandria Engineering ??,Elsevier,"After the analysis and forecast of COVID-19 spreading in China, Italy, and France the WHO has declared the COVID-19 a pandemic. There are around 100 research groups across the world trying to develop a vaccine for this coronavirus. Therefore, the quantitative and ??","Dynamics models for identifying the key transmission parameters of the COVID-19 disease After the analysis and forecast of COVID-19 spreading in China, Italy, and France the WHO has declared the COVID-19 a pandemic. There are around 100 research groups across the world trying to develop a vaccine for this coronavirus. Therefore, the quantitative and ??"
15,"L Rosenkrantz, N Schuurman, N Bell, O Amram",The need for GIScience in mapping COVID-19,2021,Health & Place,Elsevier,"Since first being tracked in China in late 2019, the effects of the COVID-19 coronavirus have shaped global patterns of morbidity and mortality, as well as exposed the strengths and limitations of health care systems and social safety nets. Without question, reporting of its ??","The need for GIScience in mapping COVID-19 Since first being tracked in China in late 2019, the effects of the COVID-19 coronavirus have shaped global patterns of morbidity and mortality, as well as exposed the strengths and limitations of health care systems and social safety nets. Without question, reporting of its ??"
2,J Ashton,COVID-19 and the anti-vaxxers,2021,Journal of the Royal Society of Medicine,journals.sagepub.com,"As 2020 enters the annals of public health as the year of the COVID-19 pandemic, we are marking a new scientific era in which science has come of age. This is exactly 100 years after the Great Influenza of 1918/1919 which accounted for between 50 and 100 million lives ??","COVID-19 and the anti-vaxxers As 2020 enters the annals of public health as the year of the COVID-19 pandemic, we are marking a new scientific era in which science has come of age. This is exactly 100 years after the Great Influenza of 1918/1919 which accounted for between 50 and 100 million lives ??"
11,"S Chlamydas, AG Papavassiliou, C Piperi",Epigenetic mechanisms regulating COVID-19 infection,2021,Epigenetics,Taylor & Francis,"ABSTRACT Coronavirus disease 2019 (COVID-2019) outbreak originating in December 2019 in Wuhan, China has emerged as a global threat to human health. The highly contagious SARS-CoV-2 infection and transmission presents a diversity of human host and ??","Epigenetic mechanisms regulating COVID-19 infection ABSTRACT Coronavirus disease 2019 (COVID-2019) outbreak originating in December 2019 in Wuhan, China has emerged as a global threat to human health. The highly contagious SARS-CoV-2 infection and transmission presents a diversity of human host and ??"
33,"M Bielecki, R Z??st, D Siegrist??",Social distancing alters the clinical course of COVID-19 in young adults: A comparative cohort study,2021,Clinical infectious ??,academic.oup.com,"Background Social distancing and stringent hygiene seem to be effective in reducing the number of transmitted virus particles, and therefore the infectivity, of coronavirus disease 2019 (COVID-19) and could alter the mode of transmission of the disease. However, it is not ??","Social distancing alters the clinical course of COVID-19 in young adults: A comparative cohort study Background Social distancing and stringent hygiene seem to be effective in reducing the number of transmitted virus particles, and therefore the infectivity, of coronavirus disease 2019 (COVID-19) and could alter the mode of transmission of the disease. However, it is not ??"
21,"M Nanni, G Andrienko, AL Barab??si, C Boldrini??","Give more data, awareness and control to individual citizens, and they will help COVID-19 containment",2021,Ethics and Information ??,Springer,"The rapid dynamics of COVID-19 calls for quick and effective tracking of virus transmission chains and early detection of outbreaks, especially in the ??phase 2?? of the pandemic, when lockdown and other restriction measures are progressively withdrawn, in order to avoid or ??","Give more data, awareness and control to individual citizens, and they will help COVID-19 containment The rapid dynamics of COVID-19 calls for quick and effective tracking of virus transmission chains and early detection of outbreaks, especially in the ??phase 2?? of the pandemic, when lockdown and other restriction measures are progressively withdrawn, in order to avoid or ??"
26,"E Sieswerda, MGJ De Boer, MMJ Bonten??",Recommendations for antibacterial therapy in adults with COVID-19?Can evidence based guideline,2021,Clinical Microbiology ??,Elsevier,Abstract Scope The Dutch Working Party on Antibiotic Policy constituted a multidisciplinary expert committee to provide evidence-based recommendation for the use of antibacterial therapy in hospitalized adults with a respiratory infection and suspected or proven 2019 ??,Recommendations for antibacterial therapy in adults with COVID-19?Can evidence based guideline Abstract Scope The Dutch Working Party on Antibiotic Policy constituted a multidisciplinary expert committee to provide evidence-based recommendation for the use of antibacterial therapy in hospitalized adults with a respiratory infection and suspected or proven 2019 ??
7,"WJ Bradshaw, EC Alley, JH Huggins, AL Lloyd??",Bidirectional contact tracing could dramatically improve COVID-19 control,2021,Nature ??,nature.com,"Contact tracing is critical to controlling COVID-19, but most protocols only ??forward-trace?? to notify people who were recently exposed. Using a stochastic branching-process model, we find that ??bidirectional?? tracing to identify infector individuals and their other infectees ??","Bidirectional contact tracing could dramatically improve COVID-19 control Contact tracing is critical to controlling COVID-19, but most protocols only ??forward-trace?? to notify people who were recently exposed. Using a stochastic branching-process model, we find that ??bidirectional?? tracing to identify infector individuals and their other infectees ??"
5,"RH Dodd, K Pickles, B Nickel, E Cvejic??",Concerns and motivations about COVID-19 vaccination,2021,The Lancet. Infectious ??,ncbi.nlm.nih.gov,"More than 200 COVID-19 vaccines are in development worldwide, with governments securing deals to access advance doses. But access is only one issue. Willingness to accept a COVID-19 vaccine when it becomes available has varied considerably across countries ??","Concerns and motivations about COVID-19 vaccination More than 200 COVID-19 vaccines are in development worldwide, with governments securing deals to access advance doses. But access is only one issue. Willingness to accept a COVID-19 vaccine when it becomes available has varied considerably across countries ??"
9,"DJ Opel, DS Diekema, LF Ross",Should we mandate a COVID-19 vaccine for children?,2021,JAMA pediatrics,jamanetwork.com,"The zeal to develop and implement a vaccine to prevent coronavirus disease 2019 (COVID-19) infection has been exceptional. Operation Warp Speed, the Trump administration's proposal, seeks to produce hundreds of millions of doses of a vaccine by January 2021 ??","Should we mandate a COVID-19 vaccine for children? The zeal to develop and implement a vaccine to prevent coronavirus disease 2019 (COVID-19) infection has been exceptional. Operation Warp Speed, the Trump administration's proposal, seeks to produce hundreds of millions of doses of a vaccine by January 2021 ??"
24,"EM Saricaoglu, I Hasanoglu??",The first reactive arthritis case associated with COVID?\19,2021,Journal of Medical ??,Wiley Online Library,"Abstract Novel coronavirus disease 2019 (COVID?\19) arised from Wuhan Province in China in December 2019, has quickly become a global public health emergency. The first confirmed COVID?\19 patient in Turkey was reported on 11th March 2020. A 73?\year?\old ??","The first reactive arthritis case associated with COVID?\19 Abstract Novel coronavirus disease 2019 (COVID?\19) arised from Wuhan Province in China in December 2019, has quickly become a global public health emergency. The first confirmed COVID?\19 patient in Turkey was reported on 11th March 2020. A 73?\year?\old ??"
17,"NE Kogan, L Clemente, P Liautaud??",An early warning approach to monitor COVID-19 activity with multiple digital traces in near real time,2021,Science ??,advances.sciencemag.org,"Given still-high levels of coronavirus disease 2019 (COVID-19) susceptibility and inconsistent transmission-containing strategies, outbreaks have continued to emerge across the United States. Until effective vaccines are widely deployed, curbing COVID-19 will ??","An early warning approach to monitor COVID-19 activity with multiple digital traces in near real time Given still-high levels of coronavirus disease 2019 (COVID-19) susceptibility and inconsistent transmission-containing strategies, outbreaks have continued to emerge across the United States. Until effective vaccines are widely deployed, curbing COVID-19 will ??"
10,"SA Rasmussen, CF Kelley, JP Horton??",Coronavirus disease 2019 (COVID-19) vaccines and pregnancy: what obstetricians need to know,2021,Obstetrics and ??,ncbi.nlm.nih.gov,Abstract Coronavirus disease 2019 (COVID-19) vaccines have begun to be distributed across the United States and to be offered initially to priority groups including health care personnel and persons living in long-term care facilities. Guidance regarding whether ??,Coronavirus disease 2019 (COVID-19) vaccines and pregnancy: what obstetricians need to know Abstract Coronavirus disease 2019 (COVID-19) vaccines have begun to be distributed across the United States and to be offered initially to priority groups including health care personnel and persons living in long-term care facilities. Guidance regarding whether ??
64,"YH Wu, SH Gao, J Mei, J Xu, DP Fan??",Jcs: An explainable covid-19 diagnosis system by joint classification and segmentation,2021,?? on Image Processing,ieeexplore.ieee.org,"Recently, the coronavirus disease 2019 (COVID-19) has caused a pandemic disease in over 200 countries, influencing billions of humans. To control the infection, identifying and separating the infected people is the most crucial step. The main diagnostic tool is the ??","Jcs: An explainable covid-19 diagnosis system by joint classification and segmentation Recently, the coronavirus disease 2019 (COVID-19) has caused a pandemic disease in over 200 countries, influencing billions of humans. To control the infection, identifying and separating the infected people is the most crucial step. The main diagnostic tool is the ??"
37,"CE Hastie, JP Pell, N Sattar",Vitamin D and COVID-19 infection and mortality in UK Biobank,2021,European journal of nutrition,Springer,"Purpose Low blood 25-hydroxyvitamin D (25 (OH) D) concentration has been proposed as a potential causal factor in COVID-19 risk. We aimed to establish whether baseline serum 25 (OH) D concentration was associated with COVID-19 mortality, and inpatient confirmed ??","Vitamin D and COVID-19 infection and mortality in UK Biobank Purpose Low blood 25-hydroxyvitamin D (25 (OH) D) concentration has been proposed as a potential causal factor in COVID-19 risk. We aimed to establish whether baseline serum 25 (OH) D concentration was associated with COVID-19 mortality, and inpatient confirmed ??"
10,"H Chao, X Fang, J Zhang, F Homayounieh??",Integrative analysis for COVID-19 patient outcome prediction,2021,Medical Image ??,Elsevier,"While image analysis of chest computed tomography (CT) for COVID-19 diagnosis has been intensively studied, little work has been performed for image-based patient outcome prediction. Management of high-risk patients with early intervention is a key to lower the ??","Integrative analysis for COVID-19 patient outcome prediction While image analysis of chest computed tomography (CT) for COVID-19 diagnosis has been intensively studied, little work has been performed for image-based patient outcome prediction. Management of high-risk patients with early intervention is a key to lower the ??"
